,loss,reconstruction_loss,lr
104,9045.2255859375,9045.2255859375,0.001
105,9044.8798828125,9044.8798828125,0.001
106,9043.982421875,9043.982421875,0.001
107,9043.5029296875,9043.5029296875,0.001
108,9043.55078125,9043.55078125,0.001
109,9044.537109375,9044.537109375,0.001
110,9048.8466796875,9048.8466796875,0.001
111,9058.34765625,9058.34765625,0.001
112,9050.365234375,9050.365234375,0.001
113,9045.4931640625,9045.4931640625,0.001
114,9045.431640625,9045.431640625,0.001
115,9049.7568359375,9049.7568359375,0.001
116,9047.9951171875,9047.9951171875,0.001
117,9045.337890625,9045.337890625,0.001
118,9044.7578125,9044.7578125,0.00020000001
119,9040.4580078125,9040.4580078125,0.00020000001
120,9039.421875,9039.421875,0.00020000001
121,9038.8046875,9038.8046875,0.00020000001
122,9038.3974609375,9038.3974609375,0.00020000001
123,9038.0986328125,9038.0986328125,0.00020000001
124,9037.8515625,9037.8515625,0.00020000001
125,9037.640625,9037.640625,0.00020000001
126,9037.4599609375,9037.4599609375,0.00020000001
127,9037.3046875,9037.3046875,0.00020000001
128,9037.16796875,9037.16796875,0.00020000001
129,9037.0458984375,9037.0458984375,0.00020000001
130,9036.935546875,9036.935546875,0.00020000001
131,9036.833984375,9036.833984375,0.00020000001
132,9036.7470703125,9036.7470703125,0.00020000001
133,9036.666015625,9036.666015625,0.00020000001
134,9036.591796875,9036.591796875,0.00020000001
135,9036.5244140625,9036.5244140625,0.00020000001
136,9036.46484375,9036.46484375,0.00020000001
137,9036.4091796875,9036.4091796875,0.00020000001
138,9036.3623046875,9036.3623046875,0.00020000001
139,9036.3251953125,9036.3251953125,0.00020000001
140,9036.296875,9036.296875,0.00020000001
141,9036.27734375,9036.27734375,0.00020000001
142,9036.26953125,9036.26953125,0.00020000001
143,9036.2763671875,9036.2763671875,0.00020000001
144,9036.2978515625,9036.2978515625,0.00020000001
145,9036.3408203125,9036.3408203125,0.00020000001
146,9036.41015625,9036.41015625,0.00020000001
147,9036.5166015625,9036.5166015625,0.00020000001
148,9036.6748046875,9036.6748046875,0.00020000001
149,9036.904296875,9036.904296875,0.00020000001
150,9037.25,9037.25,0.00020000001
151,9037.7744140625,9037.7744140625,0.00020000001
152,9038.5673828125,9038.5673828125,0.00020000001
153,9039.6767578125,9039.6767578125,0.00020000001
154,9040.826171875,9040.826171875,0.00020000001
155,9041.119140625,9041.119140625,0.00020000001
156,9040.140625,9040.140625,0.00020000001
157,9038.787109375,9038.787109375,0.00020000001
158,9037.78125,9037.78125,0.00020000001
159,9037.09375,9037.09375,0.00020000001
160,9036.6064453125,9036.6064453125,0.00020000001
161,9036.3115234375,9036.3115234375,0.00020000001
162,9036.279296875,9036.279296875,0.00020000001
163,9036.6357421875,9036.6357421875,0.00020000001
164,9037.5458984375,9037.5458984375,0.00020000001
165,9038.802734375,9038.802734375,0.00020000001
166,9038.85546875,9038.85546875,0.00020000001
167,9037.4140625,9037.4140625,0.00020000001
168,9037.224609375,9037.224609375,0.00020000001
169,9037.001953125,9037.001953125,0.00020000001
170,9036.2451171875,9036.2451171875,0.00020000001
171,9035.923828125,9035.923828125,0.00020000001
172,9035.9111328125,9035.9111328125,0.00020000001
173,9035.896484375,9035.896484375,0.00020000001
174,9035.8720703125,9035.8720703125,0.00020000001
175,9035.8671875,9035.8671875,0.00020000001
176,9035.8525390625,9035.8525390625,0.00020000001
177,9035.79296875,9035.79296875,0.00020000001
178,9035.6630859375,9035.6630859375,0.00020000001
179,9035.4541015625,9035.4541015625,0.00020000001
180,9035.19921875,9035.19921875,0.00020000001
181,9034.921875,9034.921875,0.00020000001
182,9034.6669921875,9034.6669921875,0.00020000001
183,9034.45703125,9034.45703125,0.00020000001
184,9034.3125,9034.3125,0.00020000001
185,9034.224609375,9034.224609375,0.00020000001
186,9034.181640625,9034.181640625,0.00020000001
